barcode,first_type
cellid_000000124-1,Tumor
cellid_000000125-1,Tumor
cellid_000000126-1,Tumor
cellid_000000127-1,Tumor
cellid_000000128-1,Tumor
cellid_000000129-1,Fibroblast
cellid_000000130-1,Tumor
cellid_000000131-1,Tumor
cellid_000000132-1,Tumor
cellid_000000133-1,Tumor
cellid_000000134-1,Tumor
cellid_000000135-1,Myeloid
cellid_000000136-1,Myeloid
cellid_000000137-1,Tumor
cellid_000000138-1,Tumor
cellid_000000139-1,Tumor
cellid_000000140-1,Tumor
cellid_000000141-1,Myeloid
cellid_000000142-1,Tumor
cellid_000000143-1,Tumor
cellid_000000144-1,Tumor
cellid_000000145-1,Endothelial
cellid_000000146-1,Tumor
cellid_000000147-1,Tumor
cellid_000000148-1,Tumor
cellid_000000149-1,Tumor
cellid_000000150-1,Tumor
cellid_000000151-1,Tumor
cellid_000000152-1,Tumor
cellid_000000153-1,Tumor
cellid_000000154-1,Tumor
cellid_000000155-1,Tumor
cellid_000000156-1,Tumor
cellid_000000157-1,Myeloid
cellid_000000159-1,Tumor
cellid_000000160-1,Tumor
cellid_000000161-1,Tumor
cellid_000000162-1,Tumor
cellid_000000163-1,Tumor
cellid_000000164-1,Tumor
cellid_000000165-1,Tumor
cellid_000000166-1,Tumor
cellid_000000167-1,Tumor
cellid_000000168-1,Tumor
cellid_000000169-1,Tumor
cellid_000000170-1,Endothelial
cellid_000000171-1,Tumor
cellid_000000172-1,Tumor
cellid_000000173-1,Tumor
cellid_000000174-1,Tumor
cellid_000000175-1,Tumor
cellid_000000176-1,Tumor
cellid_000000177-1,Tumor
cellid_000000178-1,Tumor
cellid_000000179-1,Tumor
cellid_000000180-1,Tumor
cellid_000000181-1,Tumor
cellid_000000182-1,Tumor
cellid_000000183-1,Tumor
cellid_000000184-1,Tumor
cellid_000000185-1,Tumor
cellid_000000186-1,Tumor
cellid_000000187-1,Tumor
cellid_000000188-1,Tumor
cellid_000000189-1,Tumor
cellid_000000190-1,Tumor
cellid_000000191-1,Tumor
cellid_000000192-1,Tumor
cellid_000000193-1,Fibroblast
cellid_000000194-1,Tumor
cellid_000000195-1,Tumor
cellid_000000196-1,Tumor
cellid_000000197-1,Tumor
cellid_000000198-1,Tumor
cellid_000000199-1,Tumor
cellid_000000200-1,Tumor
cellid_000000201-1,Tumor
cellid_000000202-1,Tumor
cellid_000000203-1,Myeloid
cellid_000000204-1,Myeloid
cellid_000000205-1,Fibroblast
cellid_000000207-1,Myeloid
cellid_000000208-1,Tumor
cellid_000000209-1,Myeloid
cellid_000000210-1,Myeloid
cellid_000000211-1,Tumor
cellid_000000212-1,Endothelial
cellid_000000213-1,Fibroblast
cellid_000000214-1,Myeloid
cellid_000000215-1,Myeloid
cellid_000000216-1,Endothelial
cellid_000000217-1,Tumor
cellid_000000218-1,Fibroblast
cellid_000000219-1,Fibroblast
cellid_000000220-1,T cells
cellid_000000221-1,T cells
cellid_000000222-1,Tumor
cellid_000000223-1,Myeloid
cellid_000000224-1,Fibroblast
cellid_000000225-1,Tumor
cellid_000000226-1,T cells
cellid_000000227-1,Fibroblast
cellid_000000228-1,Endothelial
cellid_000000229-1,T cells
cellid_000000230-1,Endothelial
cellid_000000231-1,Tumor
cellid_000000232-1,Myeloid
cellid_000000233-1,Tumor
cellid_000000234-1,Myeloid
cellid_000000235-1,Endothelial
cellid_000000236-1,Endothelial
cellid_000000237-1,Tumor
cellid_000000238-1,T cells
cellid_000000239-1,Tumor
cellid_000000240-1,Tumor
cellid_000000241-1,Myeloid
cellid_000000242-1,Tumor
cellid_000000243-1,B cells
cellid_000000244-1,Myeloid
cellid_000000245-1,Myeloid
cellid_000000246-1,Tumor
cellid_000000247-1,Myeloid
cellid_000000248-1,Tumor
cellid_000000249-1,Myeloid
cellid_000000250-1,Endothelial
cellid_000000251-1,T cells
cellid_000000252-1,Myeloid
cellid_000000253-1,Myeloid
cellid_000000254-1,Tumor
cellid_000000255-1,Tumor
cellid_000000256-1,Tumor
cellid_000000257-1,T cells
cellid_000000258-1,B cells
cellid_000000259-1,Tumor
cellid_000000260-1,Myeloid
cellid_000000261-1,T cells
cellid_000000262-1,Tumor
cellid_000000263-1,Myeloid
cellid_000000264-1,T cells
cellid_000000265-1,Tumor
cellid_000000266-1,Tumor
cellid_000000267-1,Tumor
cellid_000000268-1,Fibroblast
cellid_000000269-1,Fibroblast
cellid_000000270-1,Tumor
cellid_000000271-1,Fibroblast
cellid_000000272-1,Endothelial
cellid_000000273-1,T cells
cellid_000000274-1,Tumor
cellid_000000275-1,T cells
cellid_000000276-1,T cells
cellid_000000277-1,Myeloid
cellid_000000278-1,Tumor
cellid_000000279-1,B cells
cellid_000000280-1,Tumor
cellid_000000281-1,T cells
cellid_000000282-1,Tumor
cellid_000000283-1,B cells
cellid_000000284-1,Tumor
cellid_000000285-1,Myeloid
cellid_000000286-1,Fibroblast
cellid_000000287-1,Tumor
cellid_000000288-1,Endothelial
cellid_000000289-1,Tumor
cellid_000000290-1,Tumor
cellid_000000291-1,T cells
cellid_000000292-1,Tumor
cellid_000000293-1,T cells
cellid_000000294-1,T cells
cellid_000000295-1,Tumor
cellid_000000296-1,Myeloid
cellid_000000297-1,Myeloid
cellid_000000298-1,Tumor
cellid_000000299-1,Tumor
cellid_000000300-1,T cells
cellid_000000301-1,Tumor
cellid_000000302-1,B cells
cellid_000000303-1,Myeloid
cellid_000000304-1,Myeloid
cellid_000000305-1,Tumor
cellid_000000306-1,Tumor
cellid_000000307-1,Tumor
cellid_000000308-1,Tumor
cellid_000000309-1,Tumor
cellid_000000310-1,T cells
cellid_000000311-1,Tumor
cellid_000000312-1,Tumor
cellid_000000313-1,Endothelial
cellid_000000315-1,B cells
cellid_000000316-1,Myeloid
cellid_000000317-1,Fibroblast
cellid_000000318-1,Tumor
cellid_000000319-1,Tumor
cellid_000000320-1,Tumor
cellid_000000321-1,Tumor
cellid_000000322-1,T cells
cellid_000000323-1,Tumor
cellid_000000324-1,B cells
cellid_000000325-1,Tumor
cellid_000000326-1,Endothelial
cellid_000000327-1,Endothelial
cellid_000000328-1,Tumor
cellid_000000329-1,Tumor
cellid_000000330-1,B cells
cellid_000000331-1,Tumor
cellid_000000332-1,T cells
